Id,salaryStart,salaryEnd,monthlySalaryCredit,mandatoryProvidentFund,totalSalaryRate,regularSocialSecurityEmployer,regularSocialSecurityEmployee,regularSocialSecurityTotal,EmpCompensation,mandatoryProvidentFundEmployer,mandatoryProvidentFundEmployee,mandatoryProvidentFundTotal,totalContributionEmployer,totalContributionEmployee,totalContribution
1,1,3250,3000,0,3000,255,135,390,10,0,0,0,265,135,400
2,3250,3749.99,3500,0,3500,297.5,157.5,455,10,0,0,0,307.5,157.5,465
3,3750,4249.99,4000,0,4000,340,180,520,10,0,0,0,350,180,530
4,4250,4749.99,4500,0,4500,382.5,202.5,585,10,0,0,0,392.5,202.5,595
5,4750,5249.99,5000,0,5000,425,225,650,10,0,0,0,435,225,660
6,5250,5749.99,5500,0,5500,467.5,247.5,715,10,0,0,0,477.5,247.5,725
7,5750,6249.99,6000,0,6000,510,270,780,10,0,0,0,520,270,790
8,6250,6749.99,6500,0,6500,552.5,292.5,845,10,0,0,0,562.5,292.5,855
9,6750,7249.99,7000,0,7000,595,315,910,10,0,0,0,605,315,920
10,7250,7749.99,7500,0,7500,637.5,337.5,975,10,0,0,0,647.5,337.5,985
11,7750,8249.99,8000,0,8000,680,360,1040,10,0,0,0,690,360,1050
12,8250,8749.99,8500,0,8500,722.5,382.5,1105,10,0,0,0,732.5,382.5,1115
13,8750,9249.99,9000,0,9000,765,405,1170,10,0,0,0,775,405,1180
14,9250,9749.99,9500,0,9500,807.5,427.5,1235,10,0,0,0,817.5,427.5,1245
15,9750,10249.99,10000,0,10000,850,450,1300,10,0,0,0,860,450,1310
16,10250,10749.99,10500,0,10500,892.5,472.5,1365,10,0,0,0,902.5,472.5,1375
17,10750,11249.99,11000,0,11000,935,495,1430,10,0,0,0,945,495,1440
18,11250,11749.99,11500,0,11500,977.5,517.5,1495,10,0,0,0,987.5,517.5,1505
19,11750,12249.99,12000,0,12000,1020,540,1560,10,0,0,0,1030,540,1570
20,12250,12749.99,12500,0,12500,1062.5,562.5,1625,10,0,0,0,1072.5,562.5,1635
21,12750,13249.99,13000,0,13000,1105,585,1690,10,0,0,0,1115,585,1700
22,13250,13749.99,13500,0,13500,1147.5,607.5,1755,10,0,0,0,1157.5,607.5,1765
23,13750,14249.99,14000,0,14000,1190,630,1820,10,0,0,0,1200,630,1830
24,14250,14749.99,14500,0,14500,1232.5,652.5,1885,10,0,0,0,1242.5,652.5,1895
25,14750,15249.99,15000,0,15000,1275,675,1950,30,0,0,0,1305,675,1980
26,15250,15749.99,15500,0,15500,1317.5,697.5,2015,30,0,0,0,1347.5,697.5,2045
27,15750,16249.99,16000,0,16000,1360,720,2080,30,0,0,0,1390,720,2110
28,16250,16749.99,16500,0,16500,1402.5,742.5,2145,30,0,0,0,1432.5,742.5,2175
29,16750,17249.99,17000,0,17000,1445,765,2210,30,0,0,0,1475,765,2240
30,17250,17749.99,17500,0,17500,1487.5,787.5,2275,30,0,0,0,1517.5,787.5,2305
31,17750,18249.99,18000,0,18000,1530,810,2340,30,0,0,0,1560,810,2370
32,18250,18749.99,18500,0,18500,1572.5,832.5,2405,30,0,0,0,1602.5,832.5,2435
33,18750,19249.99,19000,0,19000,1615,855,2470,30,0,0,0,1645,855,2500
34,19250,19749.99,19500,0,19500,1657.5,877.5,2535,30,0,0,0,1687.5,877.5,2565
35,19750,20249.99,20000,0,20000,1700,900,2600,30,0,0,0,1730,900,2630
36,20250,20749.99,20000,500,20500,1700,900,2600,30,42.5,22.5,65,1772.5,922.5,2695
37,20750,21249.99,20000,1000,21000,1700,900,2600,30,85,45,130,1815,945,2760
38,21250,21749.99,20000,1500,21500,1700,900,2600,30,127.5,67.5,195,1857.5,967.5,2825
39,21750,22249.99,20000,2000,22000,1700,900,2600,30,170,90,260,1900,990,2890
40,22250,22749.99,20000,2500,22500,1700,900,2600,30,212.5,112.5,325,1942.5,1012.5,2955
41,22750,23249.99,20000,3000,23000,1700,900,2600,30,255,135,390,1985,1035,3020
42,23250,23749.99,20000,3500,23500,1700,900,2600,30,297.5,157.5,455,2027.5,1057.5,3085
43,23750,24249.99,20000,4000,24000,1700,900,2600,30,340,180,520,2070,1080,3150
44,24250,24749.99,20000,4500,24500,1700,900,2600,30,382.5,202.5,585,2112.5,1102.5,3215
45,24750,100000,20000,5000,25000,1700,900,2600,30,425,225,650,2155,1125,3280
